Competiton;City;Year;Day #;Race #;Distance;Gender (race);Solo/ Relay;Repechage;Race type;Heat #;# of skaters;Penalty;First name;Last name;Gender (fallen);Helmet #;Country;Fall / Out of track;Lap #;Turn #;Place of fall;Solo/ Group;Reason of fall;First impact;Second impact;Mattress impact;Head impact;Timing video;Impact speed mean;Impact speed m1;Impact speed m2;Impact speed m3;Not displayed;Comments
World Cup;Montreal;2022;1;11;1000m;Men;Solo;No;Heats;5;5;No;Adriaan;Dewagtere;Man;120;Belgium;Fall;No data;No data;Turn entrance;Group;Opponent fall;Shin;Hand;Yes;No data;00:48:09;#DIV/0!;;;;;
World Championships;Seoul;2023;1;71;3000m;Women;Relay;No;Quarterfinals;3;3;No;No data;No data;Woman;;China;Fall;No data;None;Straight line;Group;Relay push;Elbow + knee;Abdomen;No;None;07:40:02;#DIV/0!;;;;;
World Cup;Montreal;2022;1;12;1000m;Men;Solo;No;Heats;6;5;No;Yanghun Ben;Jung;Man;23;Germany;Fall;No data;No data;Turn;Solo;Stumbles;Knee;Hip;Yes;Direct impact;00:55:39;#DIV/0!;;;;;
World Championships;Seoul;2023;1;71;3000m;Women;Relay;No;Quarterfinals;3;3;No;Natalia;Maliszewska;Woman;11;Poland;Fall;No data;None;Straight line;Group;Opponent fall;Butt;None;No;None;07:40:02;#DIV/0!;;;;;
World Cup;Montreal;2022;1;14;1000m;Men;Solo;No;Heats;8;5;Yes;Diane;Sellier;Man;90;Poland;Fall;No data;None;Finish line;Solo;Skate stuck in the ice;Abdomen;Shoulder;No;Indirect impact;01:03:13;#DIV/0!;;;;;
World Championships;Seoul;2023;1;73;5000m;Men;Relay;No;Quarterfinals;3;4;No;No data;No data;Man;82;Kazakhstan;Fall;No data;None;Straight line;Group;Relay push;Shin;Butt;No data;No data;08:00:24;#DIV/0!;;;;;
World Cup;Montreal;2022;1;18;1500m;Women;Solo;No;Quarterfinals;3;5;No;Hanna;Sokolowska;Woman;138;Poland;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;01:34:40;#DIV/0!;;;;x;
World Championships;Seoul;2023;1;74;5000m;Men;Relay;No;Quarterfinals;4;4;No;No data;No data;Man;126;Poland;Fall;No data;None;Straight line;Group;Skates contact;Hip;Back;No;None;08:04:23;#DIV/0!;;;;;
World Cup;Montreal;2022;1;20;1500m;Women;Solo;No;Quarterfinals;5;5;Yes;Anna;Seidel;Woman;10;Germany;Fall;No data;None;Finish line;Solo;Sliding;Butt;None;No;None;01:44:39;#DIV/0!;;;;;
World Championships;Seoul;2023;2;102;1500m;Women;Solo;No;Semifinals;1;7;No;Anna;Seidel;Woman;10;Germany;Fall;No data;No data;End of turn;Group;Skates contact;Hip;None;Yes;None;00:07:38;#DIV/0!;;;;;
